topic1;question;category;
trastornos de la sangre;cómo presentan síntomas hipertrofia bazo;15;
ginecología y obstetricia;dame informaciones introducción endometritis posparto;5;
trastornos de la piel;cómo presentan síntomas eritrodermia;13;
trastornos de los huesos; articulaciones y músculos;cómo detectan síntomas osteoporosis;16
trastornos del hígado y de la vesícula biliar;cómo presentan síntomas encefalopatía hepática;19;
inmunología y trastornos alérgicos;cómo obtengo información anafilaxia;8;
trastornos urogenitales;cómo manejan trastornos urogenitales contexto terapia sustitución renal largo plazo enfermedad ósea;34;
trastornos cardiovasculares;cuáles conceptos clave estenosis pulmonar;12;
trastornos del pulmón y las vías respiratorias;cómo causan bronquitis agudas;20;
trastornos dermatológicos;cómo describir lesiones cutáneas trastornos dermatológicos tipo lesión morfología primaria presenta;21;
trastornos pulmonares;cómo produce patología asbestosis;32;
ginecología y obstetricia;cómo diagnostica prolapso pared vaginal anterior;5;
trastornos pulmonares;cómo diagnostican embolia pulmonar trombótica embolia gaseosa;32;
trastornos nutricionales;cómo evalúa cirugía bariátrica;27;
trastornos de los tejidos musculoesquelético y conectivo;qué generalidades tumores huesos articulaciones relación trastornos tejidos musculoesqueléticos conectivos conceptos clave;17;
trastornos hepáticos y biliares;dame información introducción encefalopatía portosistémica trastornos hepáticos biliares;23;
trastornos nutricionales;qué generalidades soporte nutricional trastornos nutricionales cuáles conceptos clave;27;
trastornos hepáticos y biliares;cómo refiere generalmente hepatitis c aguda;23;
fundamentos;cómo estudian fundamentos genes cromosomas;2;
trastornos de la piel;cómo diagnostica reacción dermatofítida;13;
trastornos de la salud mental;cómo identifican síntomas depresión;14;
trastornos de los huesos; articulaciones y músculos;cómo trata enfermedad relacionada igg4 afecta huesos articulaciones músculos;16
trastornos endocrinológicos y metabólicos;cuáles conceptos clave cetoacidosis alcohólica trastornos endocrinológicos metabólicos;22;
trastornos hormonales y metabólicos;cómo presentan tumores paratiroideos cómo introduce tema;24;
enfermedades cerebrales; medulares y nerviosas;cómo causan enfermedad parkinson;1
trastornos renales y del tracto urinario;cómo presenta introducción cáncer vejiga trastornos renales tracto urinario;33;
trastornos inmunológicos;cómo detectan anticuerpos contexto trastornos inmunológicos adquisición inmunidad;25;
trastornos oftálmicos;cómo presenta conjunctivitis bacteriana aguda;29;
trastornos bucales y dentales;cómo trata carie;11;
infecciones;cómo diagnostican infecciones campylobacter;7;
infecciones;cómo producen efectos secundarios vacuna poliomielitis;7;
infecciones;cómo produce vida ciclica tenia perro infecciones;7;
trastornos pulmonares;cómo realizan estudios imagen tórax gammagrafía nuclear trastornos pulmonares;32;
trastornos de los tejidos musculoesquelético y conectivo;cómo evaluar muñeca tejidos conectivos musculares;17;
ginecología y obstetricia;cuál introducción trastornos tiroideos embarazo ginecología obstetricia;5;
ginecología y obstetricia;cómo diagnostican hepatopatías embarazo hepatitis viral aguda;5;
trastornos dermatológicos;cómo identifican erupciones reacciones medicamentosas dermatológicas;21;
salud femenina;cómo tratan colicos menstruales ámbito salud femenina hogar;10;
salud femenina;cómo funcionan pautas transdérmicas anillos vaginales anticonceptivos;10;
traumatismos y envenenamientos;cómo trata laceración párpado globo ocular debido traumatismo envenenamiento;35;
geriatría;cómo brinda asistencia relevos geriatría;4;
trastornos nutricionales;cómo diagnostica sobredosis vitamina;27;
hematología y oncología;qué entiende trastornos plaquetarios hematología oncología;6;
trastornos otorrinolaringológicos;cómo maneja pérdida audición implante coclear;30;
fundamentos;cuáles conceptos básicos toma decisiones área atención sanitaria;2;
trastornos psiquiátricos;dame información introducción fobias específicas;31;
trastornos hepáticos y biliares;cómo identifican síntomas signos hepatitis b crónica;23;
trastornos de los huesos; articulaciones y músculos;cómo trata estenosis vertebral raquídea lumbar;16
trastornos endocrinológicos y metabólicos;qué entiende trastornos concentración potasio desviaciones potasio;22;
traumatismos y envenenamientos;dame informaciones introductories hematórax;35;
trastornos bucales y dentales;cómo realizan prótesis dentales tipo cirugía requiere casos trastornos bucales dentales;11;
infecciones;cómo presentan síntomas sífilis;7;
infecciones;cómo diagnostican infecciones transmisión sexual;7;
enfermedades cerebrales; medulares y nerviosas;cómo identifican tipos afasia;1
trastornos otorrinolaringológicos;cómo trata disfunción glándulas salivales;30;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata dolor articulación metatarsofalángica tejidos musculoesqueléticos conectivos;17;
ginecología y obstetricia;cómo evaluar sangrado vaginal segunda mitad embarazo;5;
trastornos odontológicos;dame información introducción trastornos odontológicos molestias linguales;28;
trastornos endocrinológicos y metabólicos;cómo produce patología alcalosis respiratoria trastornos endocrinológicos metabólicos;22;
trastornos de la salud mental;cómo producen cambios personalidad comportamiento trastornos mentales;14;
trastornos endocrinológicos y metabólicos;cómo trata masa suprarrenal funcional;22;
trastornos pulmonares;cómo identifican masas mediastínicas trastornos pulmonares;32;
trastornos de los huesos; articulaciones y músculos;cómo trata panadizo herpético;16
trastornos del corazón y los vasos sanguíneos;cuáles conceptos clave trastornos corazón vasos sanguíneos causan mareos aturdimiento ponerse pie;18;
ginecología y obstetricia;cómo diagnostica aborto espontáneo;5;
trastornos de la sangre;cómo diagnostican vasculitis asociadas inmunoglobulina trastornos sangre proteínas involucrados;15;
fundamentos;qué decisiones tomar muerte cómo elegir equipo médico atención cuidado final vida;2;
trastornos dermatológicos;dime epidermólisis ampollosa;21;
trastornos otorrinolaringológicos;cómo diagnositan sinusitis infecciones fúngicas senos paranasales;30;
trastornos otorrinolaringológicos;cómo producen trastornos oído causados medicamentos;30;
salud femenina;cómo presenta introducción cáncer útero materia salud femenina;10;
trastornos de la sangre;cómo presentan síntomas leucemia linfoblástica aguda;15;
fármacos o sustancias;cómo garantiza adherencia tratamiento farmacológico personas mayores fármacos sustancias;3;
ginecología y obstetricia;cómo diagnostica menopausia;5;
infecciones;cómo obtengo información meningoencefalitis amebiana primaria;7;
trastornos de los tejidos musculoesquelético y conectivo;cómo refiere literatura médica tumores articulares contexto trastornos tejidos musculoesqueléticos conectivos;17;
enfermedades cerebrales; medulares y nerviosas;dame información introducción síndrome isaacs;1
trastornos neurológicos;cómo trata linfomas primarios cerebrales;26;
trastornos bucales y dentales;cómo diagnostica gingivitis causada placa;11;
traumatismos y envenenamientos;cómo trata lesiones causadas sustancias asfixiantes sistémicas químicas guerra;35;
trastornos hormonales y metabólicos;cómo mide azúcar sangre persona diabetes mellitus;24;
trastornos otorrinolaringológicos;cómo evalúan trastornos auditivos;30;
trastornos del corazón y los vasos sanguíneos;cómo causan hipertensiones arteriales;18;
trastornos dermatológicos;cómo reconocen síntomas parapsoriasis;21;
trastornos pulmonares;cómo realiza prueba esfuerzo cardiopulmonar pecp evaluar trastornos pulmonares;32;
infecciones;cuál introducción metronidazol tinidazol tratamiento infecciones;7;
salud femenina;cuál introducción hiperémesis gravídica materia salud femenina;10;
cuidados críticos;cómo realiza canulación subclavia infraclavicular bajo guía ecográfica cuidados críticos equipo utiliza;0;
trastornos cardiovasculares;cómo tratan trastornos cardiovasculares medicamentos hipertensión arterial bloqueadores beta;12;
ginecología y obstetricia;cómo detectan masas ováricas benignas ginecología obstetricia;5;
infecciones;cómo presentan síntomas tuberculosis miliar;7;
salud femenina;cómo trata infertilidad;10;
trastornos odontológicos;cómo reconocen síntomas estomatitis aftosa recurrente trastornos odontológicos relacionados;28;
ginecología y obstetricia;cuál introducción síndrome congestión pelviana ginecología obstetricia;5;
enfermedades cerebrales; medulares y nerviosas;cómo identifican síntomas vegetativo enfermedades cerebrales medulares nerviosas;1
traumatismos y envenenamientos;dame informaciones introductories intoxicación hidrocarburos;35;
trastornos inmunológicos;cómo trata alergia física;25;
trastornos oftálmicos;cómo presentan síntomas trastornos refracción;29;
ginecología y obstetricia;cómo introduce cáncer embarazo;5;
infecciones;cómo presentan síntomas cistoisosporiasis;7;
trastornos del corazón y los vasos sanguíneos;cómo realizar exploración física trastornos cardíacos vasculares;18;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica degeneración combinada subaguda;1
fundamentos;cómo elegir ejercicio físico correcto según fundamentos entrenamiento fuerza;2;
trastornos otorrinolaringológicos;cómo entienden conceptos esenciales geriatría relacionados mareos vértigo entiende trastornos otorrinolaringológicos contexto;30;
trastornos psiquiátricos;dame información introducción trastornos depresivos;31;
trastornos oftálmicos;cómo diagnostica neuropatía óptica compresiva;29;
infecciones;cómo utiliza cefalosporina embarazo lactancia tratar infecciones;7;
salud femenina;cuál introducción prolapso cordón umbilical materia salud femenina;10;
trastornos de los tejidos musculoesquelético y conectivo;cómo presenta introducción subluxación atlantoaxial tejidos musculoesqueléticos conectivos;17;
trastornos del corazón y los vasos sanguíneos;cómo introduce valvulopatías implica reparación sustitución válvula cardíaca;18;
trastornos psiquiátricos;dame información introducción anorexia nerviosa;31;
trastornos hepáticos y biliares;cómo identifican síntomas signos insuficiencia hepática aguda;23;
enfermedades cerebrales; medulares y nerviosas;cómo trata insomnio mortal enfermedades cerebrales medulares nerviosas;1
trastornos neurológicos;cómo causa delirio;26;
salud femenina;cómo cambia salud femenina embarazo efectos cambios piel;10;
trastornos hepáticos y biliares;cómo presenta introducción ascitis trastornos hepáticos biliares;23;
salud femenina;cómo diagnostica anemia embarazo anemia células falciformes anemia drepanocítica drepanocitosis área salud femenina;10;
trastornos nutricionales;cómo alimenta persona mediante sonda complicaciones pueden surgir;27;
trastornos otorrinolaringológicos;cómo trata epistaxis posterior balón qué consideraciones adicionales deben tenerse cuenta tratar epistaxis posterior balón;30;
trastornos del hígado y de la vesícula biliar;cómo realiza screening hepatitis c crónica;19;
trastornos de la piel;cómo diagnostica acné;13;
traumatismos y envenenamientos;cómo manejan traumatismos envenenamientos buceo especialmente toxicidad gases oxígeno;35;
trastornos neurológicos;dame información enfermedad priones asociada diarrea neuropatía autónoma introducción;26;
trastornos oftálmicos;dame informaciones introducción queratoconjunctivitis seca;29;
trastornos hepáticos y biliares;cómo realiza diagnóstico trastornos hepáticos biliares mediante pruebas imagen hígado vesícula biliar;23;
trastornos otorrinolaringológicos;cómo presenta laberintitis purulenta contexto trastornos otorrinolaringológicos;30;
ginecología y obstetricia;cómo maneja trabajo parto normal ginecología obstetricia cuáles estadios períodos trabajo parto;5;
ginecología y obstetricia;cómo preven preeclampsia eclampsia ginecología obstetricia;5;
ginecología y obstetricia;cómo hace referencia aborto espontáneo ginecología obstetricia;5;
trastornos dermatológicos;cómo preven sale queratoacantoma;21;
trastornos oftálmicos;qué aspectos esenciales personas mayores relación visión borrosa trastornos oftálmicos;29;
infecciones;cómo diagnostican infecciones escherichia coli;7;
trastornos pulmonares;cómo produce sibilancia;32;
trastornos dermatológicos;cómo trata queratodermia palmoplantar;21;
salud femenina;cómo diagnostica tumor maligno aparato reproductor femenino;10;
trastornos otorrinolaringológicos;cómo obtiene hisopado fauces evaluación trastornos otorrinolaringológicos qué anatomía relevante hisopado fauces;30;
trastornos de la piel;cómo diagnostican trastornos cutáneos cómo utiliza luz wood diagnóstico trastornos cutáneos;13;
trastornos del pulmón y las vías respiratorias;dame informaciones introductories proteinosis alveolar pulmón;20;
trastornos urogenitales;cuáles conceptos clave relacionados poliuria trastornos urogenitales;34;
trastornos psiquiátricos;cómo reconocen síntomas trastornos bipolares;31;
enfermedades cerebrales; medulares y nerviosas;cómo trata distonía;1
trastornos del pulmón y las vías respiratorias;cómo causan neumonías adquiridas hospital;20;
trastornos de la sangre;cómo introduce sangre medicina;15;
trastornos del hígado y de la vesícula biliar;cómo realiza diagnóstico trastornos hígado vesícula biliar mediante pruebas imagen colangiopancreatografía retrógrada endoscópica cpre;19;
ginecología y obstetricia;cuáles factores riesgo complicaciones embarazo relación diabetes;5;
trastornos oftálmicos;cómo trata glaucoma ángulo cerrado;29;
enfermedades cerebrales; medulares y nerviosas;cómo introduce dolor cabeza qué conceptos clave deben tener cuenta enfermedades cerebrales medulares nerviosas;1
infecciones;cómo obtengo información botulismo lactante;7;
infecciones;cómo propaga infección salmonella través torrente sanguíneo;7;
hematología y oncología;cómo produce síndrome mielodisplásico hematología oncología;6;
trastornos de la sangre;cómo trata sobrecarga secundaria hierro;15;
trastornos pulmonares;cómo diagnostica neumonía pacientes inmunodeprimidos;32;
cuidados críticos;cómo hacer examen fast cuidados críticos cómo posicionar paciente;0;
trastornos de los tejidos musculoesquelético y conectivo;cómo realiza artrocentesis hombro cómo posiciona paciente artrocentesis hombro;17;
trastornos neurológicos;cómo reconocen síntomas signos meningitis viral;26;
infecciones;cómo trata fiebre adultos causa infecciones;7;
trastornos de la salud mental;cómo presentan síntomas trastorno conductas repetitivas centradas cuerpo mental;14;
trastornos dermatológicos;cómo refiere generalmente fotosensibilidad contexto trastornos dermatológicos;21;
salud femenina;cómo trata ruptura prematura membranas salud femenina;10;
trastornos neurológicos;cómo trata trastornos neurológicos vegetativo mínimamente consciente;26;
trastornos dermatológicos;cómo presentan síntomas signos acné vulgar;21;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica trastorno vegetativo sistema nervioso autónomo;1
trastornos nutricionales;cómo diagnostica deficiencia vitamina edad salud;27;
trastornos urogenitales;qué conceptos clave hematospermia trastornos urogenitales;34;
infecciones;dame información introducción fiebre maculosa montañas rocosas;7;
traumatismos y envenenamientos;cómo trata heridas químicas causadas métodos antidisturbios;35;
cuidados críticos;cómo realiza canulación vena femoral guiada ecografía cuidados críticos qué advertencias errores comunes tener cuenta;0;
trastornos neurológicos;qué entiende trastornos neurológicos qué generalidades tumores intracraneanos cuáles signos síntomas tumores intracraneanos;26;
trastornos psiquiátricos;cómo diagnositan trastornos uso sustancias;31;
trastornos de la sangre;cómo trata leucocitosis neutrófila;15;
trastornos neurológicos;cómo trata parálisis sexto nervio craneano;26;
trastornos endocrinológicos y metabólicos;cómo diagnostica neoplasia endocrina múltiple tipo 4 nem 4;22;
trastornos de la sangre;cómo introduce trombocitopenia;15;
cuidados críticos;cómo realiza lavado peritoneal diagnóstico cuidados críticos cómo debe posicionar paciente;0;
ginecología y obstetricia;dame información cáncer endometrio ginecología obstetricia;5;
ginecología y obstetricia;dame información cáncer ovario trompa uterina peritoneo;5;
trastornos pulmonares;cómo trata neumonía pneumocystis jirovecii;32;
trastornos psiquiátricos;cómo administran antipsicóticos segunda generación trastornos psiquiátricos;31;
trastornos urogenitales;cómo detectan signos alarma ginecomastia;34;
fundamentos;podrías darme información introducción fundamentos controversias éticas genética;2;
trastornos hepáticos y biliares;dame información hepatitis c aguda;23;
trastornos del pulmón y las vías respiratorias;cómo manejan alternativas ventilación mecánica trastornos pulmón vías respiratorias;20;
trastornos de los huesos; articulaciones y músculos;cómo detectan síntomas osteonecrosis;16
trastornos neurológicos;cómo trata demencia síntomas neurológicos conductuales psicológicos;26;
trastornos nutricionales;cómo presenta deficiencia cinc cómo diagnostica;27;
traumatismos y envenenamientos;cómo trata fractura mano;35;
salud femenina;cómo trata quiste absceso glándulas bartolino mujer;10;
trastornos del corazón y los vasos sanguíneos;cómo causan fibrilación auricular aleteo auricular;18;
infecciones;cómo previene gripe aviaria;7;
trastornos hormonales y metabólicos;cómo diagnostica hipopotasemia;24;
ginecología y obstetricia;cuál introducción ruptura membranas previa trabajo parto rpm ginecología obstetricia;5;
ginecología y obstetricia;dame informaciones introducción síndrome ovario poliquístico sop ginecología obstetricia;5;
trastornos cardiovasculares;cómo reconocen síntomas signos estenosis tricuspídea;12;
trastornos hormonales y metabólicos;cómo presentan síntomas hiponatremia;24;
ginecología y obstetricia;cómo detectan signos síntomas infección intraamniótica;5;
hematología y oncología;cómo produce anemia macrocítica megaloblástica;6;
hematología y oncología;qué conceptos clave linfohistiocitosis hemofagocítica lhh hematología oncología;6;
trastornos otorrinolaringológicos;cómo presentan objetos oído trastornos otorrinolaringológicos;30;
traumatismos y envenenamientos;cómo identifican síntomas taponamiento cardíaco;35;
trastornos otorrinolaringológicos;cómo produce abscesión celulitis periamigdalina trastornos otorrinolaringológicos;30;
trastornos cardiovasculares;cómo diagnostica pericarditis;12;
salud femenina;cómo detecta lupus embarazo;10;
trastornos hepáticos y biliares;cómo diagnosticar paciente asintomático resultados anormales pruebas hepáticas alta fosfatasa alcalina;23;
trastornos bucales y dentales;cómo trata trastornos temporomandibulares;11;
hematología y oncología;dame informaciones introducción hemoglobinopatía hematología oncología;6;
trastornos neurológicos;cómo diagnostica demencia enfermedad parkinson demencia cuerpos lewy;26;
traumatismos y envenenamientos;cómo dan cuenta lesiones tisulares congelación traumatismos envenenamientos pie trinchera;35;
traumatismos y envenenamientos;cómo diagnostica fractura dedo pie;35;
hematología y oncología;dame informaciones introducción síndrome mielodisplásico hematología oncología;6;
trastornos urogenitales;cómo tratan trastornos urogenitales adultos presentan incontinencia urinaria referencias pueden utilizar;34;
trastornos psiquiátricos;dame información introducción trastornos psicóticos esquizofrenia trastornos espectro;31;
salud femenina;cómo presenta introducción cáncer vagina materia salud femenina;10;
traumatismos y envenenamientos;cómo previene entrada cuerpos extraños ojo traumatismo envenenamiento;35;
trastornos del corazón y los vasos sanguíneos;dame informaciones introductories regurgitación pulmonar;18;
trastornos endocrinológicos y metabólicos;qué conceptos clave síndrome enfermo eutiroideo;22;
trastornos psiquiátricos;cómo refiere generalmente trastorno referencia olfatorio contexto trastornos psiquiátricos;31;
trastornos urogenitales;dame información introducción nefropatía inmunoglobulina trastornos urogenitales;34;
enfermedades cerebrales; medulares y nerviosas;cómo trata parálisis bell;1
cuidados críticos;cómo realiza ventilación bolsa válvula mascarilla bvm tipo ambú complicaciones pueden presentarse;0;
trastornos de la piel;cómo diagnostica eritema polimorfo multiforme;13;
trastornos psiquiátricos;cómo abordar clínicamente trastornos uso sustancias;31;
infecciones;cómo diagnostica enfermedad sueño africana;7;
trastornos oftálmicos;dame información introducción tracto óptico;29;
trastornos neurológicos;cómo evaluar dolor pacientes trastornos neurológicos demencia afasia;26;
hematología y oncología;dame informaciones hemorragia excesiva campo hematología oncología;6;
trastornos de los tejidos musculoesquelético y conectivo;cómo produce poliarteritis nudosa;17;
trastornos hormonales y metabólicos;cómo presenta introducción amiloidosis;24;
trastornos de la piel;cómo causan trastornos piel provocan prurito;13;
trastornos otorrinolaringológicos;dame información introducción pólipos nódulos granulomas cuerdas vocales;30;
trastornos hormonales y metabólicos;cómo trata insuficiencia hipofisaria;24;
trastornos del pulmón y las vías respiratorias;cómo presenta enfermedad pleural relacionada asbesto;20;
trastornos de los huesos; articulaciones y músculos;cómo realizan pruebas diagnóstico trastornos musculoesqueléticos cómo utilizan pruebas diagnóstico imagen diagnóstico trastornos musculoesqueléticos;16
hematología y oncología;cómo produce anemia deficiencia hierro;6;
ginecología y obstetricia;cuál introducción enfermedad trofoblástica gestacional ginecología obstetricia;5;
trastornos neurológicos;cómo refieren generalmente enfermedad creutzfeldtjakob ecj tipos trastornos neurológicos relacionados ella;26;
trastornos urogenitales;cómo causa dolor escrotal;34;
trastornos dermatológicos;cómo produce dermatitis atópica;21;
trastornos cardiovasculares;dame información síndrome brugada;12;
trastornos urogenitales;cómo realiza reducción parafimosis hendidura dorsal complicaciones pueden surgir;34;
trastornos oftálmicos;cómo diagnostica herpes zóster oftálmico;29;
trastornos de la piel;cómo presentan síntomas carcinoma espinocelular;13;
inmunología y trastornos alérgicos;cómo presenta diagnostica síndrome linfoproliferativo ligado x inmunología trastornos alérgicos;8;
trastornos inmunológicos;cómo presentan inmunodeficiencias;25;
trastornos del corazón y los vasos sanguíneos;cómo presentan síntomas arritmias;18;
trastornos del pulmón y las vías respiratorias;cómo preven enfermedades relacionadas contaminación atmosférica afectan sistema respiratorio;20;
infecciones;cómo presenta mononucleosis infecciosa;7;
trastornos dermatológicos;cómo diagnostican traumatismos uñas hematomas subunguales;21;
trastornos endocrinológicos y metabólicos;dame información introducción hipoparatiroidismo;22;
cuidados críticos;cómo hacer canulación vena yugular interna cuidados críticos;0;
inmunología y trastornos alérgicos;podrías darme información trasplante general campo inmunología trastornos alérgicos;8;
trastornos de la salud mental;cómo diagnostica trastorno frotista froteurista;14;
trastornos de la salud mental;cómo presentan medicamentos antipsicóticos trastornos mentales;14;
geriatría;cómo atienden necesidades atención residencial programas vivienda asistida geriatría;4;
trastornos de los tejidos musculoesquelético y conectivo;cómo presenta síndrome quervain;17;
trastornos de los huesos; articulaciones y músculos;cómo entienden conceptos clave relacionados dolor cervical enfermedades huesos articulaciones músculos;16
trastornos urogenitales;cómo evaluar proteinuria trastornos urogenitales;34;
trastornos del corazón y los vasos sanguíneos;dame información introducción eritromelalgia trastornos corazón vasos sanguíneos;18;
trastornos psiquiátricos;cómo diagnostica disforia género incongruencia género;31;
trastornos neurológicos;cómo presentan hematomas subdurales epidurales espinales cómo diagnostican;26;
trastornos hepáticos y biliares;cómo presenta introducción colelitiasis trastornos hepáticos biliares;23;
trastornos de los tejidos musculoesquelético y conectivo;cómo inyecta bolsa trocantérica relevante trastornos tejidos musculoesqueléticos conectivos;17;
trastornos de la piel;cómo causan ronchas urticaria;13;
trastornos hepáticos y biliares;podrías darme informaciones generales trastornos vasculares hígado;23;
hematología y oncología;cómo trata linfoma burkitt;6;
trastornos psiquiátricos;cómo reconocen síntomas signos agorafobia;31;
inmunología y trastornos alérgicos;dame información introducción síndrome hipergammaglobulinemia inmunología trastornos alérgicos;8;
trastornos psiquiátricos;cómo presenta trastorno referencia olfatorio psiquiátrico;31;
salud femenina;dame información introducción órganos genitales externos femeninos;10;
trastornos del hígado y de la vesícula biliar;dime introducción dolor biliar cálculos biliares trastornos hígado vesícula biliar;19;
ginecología y obstetricia;cómo refiere complicaciones síndrome ovario poliquístico ginecología obstetricia;5;
infecciones;cómo transmite estrongyloidiasis;7;
trastornos de los huesos; articulaciones y músculos;cómo obtener información artritis reumatoide;16
trastornos neurológicos;cómo diagnostica ataque isquémico transitorio;26;
trastornos neurológicos;cómo trata encefalopatía crónica traumática;26;
salud femenina;causas exceso sangrado uterino parto salud femenina;10;
infecciones;cómo transmite infección parasitaria;7;
enfermedades cerebrales; medulares y nerviosas;dame información introducción disreflexia autónoma médula espinal;1
infecciones;cómo diagnostica brucelosis;7;
infecciones;cómo presentan síntomas infección virus papiloma humano vph;7;
trastornos neurológicos;cómo presenta síndrome cola caballo;26;
trastornos del corazón y los vasos sanguíneos;dame informaciones introductories insuficiencia venosa crónica síndrome posflebítico;18;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas cefalea abuso medicación enfermedades cerebrales medulares nerviosas;1
ginecología y obstetricia;cuál introducción dispositivo intrauterino diu ginecología obstetricia;5;
geriatría;cómo manejan medicamentos antiparkinsonianos geriatría cuáles categorías requieren especial atención ancianos;4;
trastornos neurológicos;cómo evaluar pérdida memoria;26;
inmunología y trastornos alérgicos;cómo diagnostica síndrome chédiak higashi;8;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica insomnio mortal;1
geriatría;cómo identifican factores riesgo abuso ancianos;4;
trastornos oftálmicos;cómo presenta queratitis ulcerativa periférica;29;
trastornos neurológicos;qué entiende función cerebral general causa desfunción cerebral;26;
trastornos pulmonares;cuáles conceptos clave silicosis pulmonar;32;
fundamentos;cómo elegir ejercicio step aeróbico correcto según fundamentos;2;
trastornos de la piel;cómo presenta diagnostica enfermedad paget pezón;13;
trastornos hepáticos y biliares;cómo presenta introducción hepatitis trastornos hepáticos biliares;23;
trastornos de la salud mental;cómo puede prevenir comportamiento suicida;14;
trastornos urogenitales;qué enfermedades tubulointersticiales causa fisiopatología;34;
trastornos de los tejidos musculoesquelético y conectivo;cómo obtengo información granulomatosis eosinofílica poliangeítis;17;
trastornos otorrinolaringológicos;cómo presentan trastornos otorrinolaringológicos cáncer glándulas salivales;30;
trastornos otorrinolaringológicos;cómo detectan riesgos cáncer boca garganta;30;
trastornos de los tejidos musculoesquelético y conectivo;cómo diagnostica esclerosis sistémica;17;
trastornos otorrinolaringológicos;dame información introducción trastornos otorrinolaringológicos causados medicamentos ototoxicos;30;
enfermedades cerebrales; medulares y nerviosas;cómo presenta introducción narcolepsia enfermedades cerebrales medulares nerviosas;1
trastornos endocrinológicos y metabólicos;cómo reconocen signos síntomas depleción volumen trastornos endocrinológicos metabólicos;22;
trastornos oftálmicos;cómo manejan trastornos oftálmicos causan visión borrosa hogar;29;
trastornos de la piel;cómo presentan síntomas infestación sarna;13;
trastornos oftálmicos;cómo evaluar ojos rojos;29;
trastornos de la sangre;cuál introducción leucemia;15;
trastornos del pulmón y las vías respiratorias;cómo diagnostica atelectasia;20;
trastornos cardiovasculares;cómo determina causa dolor torácico;12;
traumatismos y envenenamientos;puedes darme información conmoción cerebral traumatismos envenenamientos;35;
trastornos oftálmicos;cómo obtengo información blefaritis trastornos oftálmicos;29;
trastornos hormonales y metabólicos;cómo preven ataques agudos porfiria intermitente aguda;24;
trastornos neurológicos;cómo diagnostican abscesos cerebrales;26;
trastornos psiquiátricos;qué entiende trastornos ansiedad síntomas signos pueden indicarlos;31;
trastornos de los tejidos musculoesquelético y conectivo;cómo conceptualizan trastornos tejidos musculoesqueléticos conectivos especialmente dolor articulación metatarsofalángica;17;
cuidados críticos;cómo provee atención crítica adultos reanimación cardiopulmonar rcp entiende asistencia tras reanimación;0;
trastornos del hígado y de la vesícula biliar;cómo realiza diagnóstico trastornos hígado vesícula biliar mediante pruebas imagen tomografía computarizada;19;
hematología y oncología;cómo diagnostican púrpuras causadas disproteinemias;6;
trastornos inmunológicos;cómo trata inmunodeficiencia;25;
cuidados críticos;cómo realiza traqueostomía contexto cuidados críticos quirúrgica vía aérea;0;
trastornos inmunológicos;cómo trata enfermedad granulomatosa crónica;25;
trastornos del corazón y los vasos sanguíneos;dame informaciones introductories tomografía emisión positrones pet corazón;18;
ginecología y obstetricia;cómo interactúan anticonceptivos orales medicamentos;5;
trastornos del corazón y los vasos sanguíneos;cómo sientan síntomas pericarditis crónica;18;
trastornos de los tejidos musculoesquelético y conectivo;cómo realiza artrocentesis articulación metatarsofalángica anatomía relevante ello;17;
infecciones;dame información tosferina pertusis infecciones;7;
trastornos neurológicos;cómo trata espondilosis cervical mielopatía cervical espondilótica;26;
trastornos de la piel;cómo introduce dermatitis cómo prevenen dermatitis;13;
trastornos otorrinolaringológicos;dame información introducción trastornos otorrinolaringológicos cálculos salivales;30;
trastornos bucales y dentales;cómo presentan tumores bucales;11;
enfermedades cerebrales; medulares y nerviosas;cómo presenta amnesia;1
trastornos urogenitales;cómo causa uropatía obstructiva;34;
infecciones;puedes darme información vacuna poliomielitis;7;
hematología y oncología;podrías darme información general cáncer;6;
inmunología y trastornos alérgicos;qué entiende generalidades trasplante campo inmunología trastornos alérgicos cuáles complicaciones trasplante contexto;8;
trastornos psiquiátricos;cómo trata trastorno disociativo identidad;31;
trastornos dermatológicos;cómo presentan quistes cutáneos cómo diagnostican;21;
enfermedades cerebrales; medulares y nerviosas;cómo presenta diagnostica meningitis subaguda crónica;1
trastornos odontológicos;cómo produce gingivitis;28;
trastornos cardiovasculares;dame informaciones introductivas hipertensión;12;
trastornos otorrinolaringológicos;cómo trata cáncer nasofaríngeo;30;
trastornos neurológicos;cómo presenta introducción agnosia neurológica;26;
traumatismos y envenenamientos;cómo trata desprendimiento retina provocado lesión ocular;35;
trastornos dermatológicos;cómo reconocen síntomas signos granuloma anular;21;
traumatismos y envenenamientos;dame informaciones introducción traumatismo partes blandas;35;
cuidados críticos;cómo monitorea paciente cuidados críticos estudia monitorización cardíaca;0;
trastornos de la piel;cómo trata eritema polimorfo multiforme;13;
trastornos del hígado y de la vesícula biliar;dame informaciones introductories cirrosis hígado;19;
trastornos hepáticos y biliares;cómo refiere fuente confiable cáncer hepático primario;23;
cuidados críticos;cómo realiza canulación arteria femoral bajo guía ecográfica cuidados críticos equipo utiliza ello;0;
